public/landing-v4.html: em=1, en=0, total=1
public/features.html: em=4, en=0, total=4
public/platform.html: em=5, en=0, total=5
public/about.html: em=9, en=0, total=9
public/contact.html: em=5, en=0, total=5
public/app/app.html: em=81, en=0, total=81
public/js/public-header.js: em=1, en=0, total=1
public/app/js/main.js: em=1, en=0, total=1
public/app/js/utils.js: em=9, en=0, total=9
public/app/js/components.js: em=8, en=0, total=8
public/app/js/mode.js: em=3, en=0, total=3
public/app/js/fetch.js: em=1, en=0, total=1
public/app/js/router.js: em=4, en=0, total=4
public/app/js/ui.js: em=2, en=0, total=2
public/app/js/state.js: em=1, en=0, total=1
public/app/js/init.js: em=3, en=0, total=3
public/app/js/views/recommandation.js: em=11, en=0, total=11
public/app/js/views/dividend-screener.js: em=5, en=0, total=5
public/app/js/views/marche.js: em=11, en=0, total=11
public/app/js/views/formation.js: em=1, en=0, total=1
public/app/js/views/screener.js: em=6, en=0, total=6
public/app/js/views/fundamental-ratios.js: em=4, en=0, total=4
public/app/js/views/titres.js: em=5, en=0, total=5
public/app/js/views/publications.js: em=2, en=0, total=2
public/app/js/views/analyse-fondamentale.js: em=15, en=0, total=15
public/app/js/views/boc.js: em=2, en=0, total=2
public/app/js/views/overview.js: em=8, en=0, total=8
public/app/js/views/user-data-patch.js: em=2, en=0, total=2
public/app/js/views/analyses.js: em=3, en=0, total=3
public/app/js/views/fiche.js: em=16, en=0, total=16
public/app/js/views/alertes.js: em=2, en=0, total=2
public/app/js/views/financials.js: em=13, en=0, total=13
public/app/js/views/comparison.js: em=1, en=0, total=1
public/app/js/components/cards.js: em=1, en=0, total=1
public/app/js/components/sidebar.js: em=1, en=0, total=1
public/app/js/components/header.js: em=1, en=0, total=1
public/app/js/views/technique/watchlist.js: em=2, en=1, total=3
public/app/js/views/technique/navigation.js: em=2, en=0, total=2
public/app/js/views/technique/indicators.js: em=1, en=0, total=1
public/app/js/views/technique/draw.js: em=3, en=0, total=3
public/app/js/views/technique/compare.js: em=1, en=0, total=1
public/app/js/views/technique/experience.js: em=1, en=0, total=1
public/app/js/views/technique/types.js: em=1, en=0, total=1
public/app/js/views/technique/presets.js: em=1, en=0, total=1
public/app/js/views/technique/index.js: em=4, en=0, total=4
public/app/js/views/technique/data-bridge.js: em=1, en=0, total=1
public/app/js/views/technique/crosshair.js: em=1, en=0, total=1
public/app/js/views/technique/focus.js: em=1, en=0, total=1
public/app/js/views/technique/engine.js: em=11, en=0, total=11
public/app/js/views/technique/signals.js: em=2, en=0, total=2
public/app/js/views/technique/pro-tools.js: em=1, en=0, total=1
public/app/js/views/technique/export.js: em=9, en=0, total=9
public/app/js/views/technique/zoom.js: em=1, en=0, total=1
public/app/js/views/portefeuille/portefeuille-main.js: em=10, en=0, total=10
public/app/js/views/portefeuille/portfolio-benchmark-correction.js: em=3, en=0, total=3
public/app/js/views/portefeuille/portefeuille-history.js: em=1, en=0, total=1
public/app/js/views/portefeuille/portefeuille-crud.js: em=32, en=0, total=32
public/app/js/views/portefeuille/portfolio-store.js: em=1, en=0, total=1
public/app/js/views/portefeuille/portfolio-trade-guards-patch.js: em=1, en=0, total=1
public/app/js/views/portefeuille/portfolio-trade-flows-patch.js: em=2, en=0, total=2
public/app/js/views/portefeuille/portefeuille-prices.js: em=7, en=1, total=8
public/app/js/views/portefeuille/portefeuille-utils.js: em=1, en=0, total=1
public/app/js/views/portefeuille/portfolio-benchmark-flows-patch.js: em=4, en=0, total=4
public/app/js/views/portefeuille/portfolio-crud-patch.js: em=2, en=0, total=2
public/app/js/views/portefeuille/portefeuille-charts.js: em=6, en=1, total=7
public/app/js/views/technique/ind/rsi.js: em=1, en=0, total=1
public/app/js/views/technique/ind/vwap.js: em=1, en=0, total=1
public/app/js/views/technique/ind/bb.js: em=1, en=0, total=1
public/app/js/views/technique/ind/obv.js: em=1, en=0, total=1
public/app/js/views/technique/ind/stoch.js: em=1, en=0, total=1
public/app/js/views/technique/ind/ha.js: em=1, en=0, total=1
public/app/js/views/technique/ind/adx.js: em=1, en=0, total=1
public/app/js/views/technique/ind/ema.js: em=1, en=0, total=1
public/app/js/views/technique/ind/macd.js: em=1, en=0, total=1
public/app/js/views/technique/ind/base.js: em=1, en=0, total=1
public/app/js/views/technique/ind/cci.js: em=1, en=0, total=1
public/app/js/views/technique/ind/sma.js: em=1, en=0, total=1
